2015/04/19 14:13:55,1,0,E,OK,0,10_20150419141355.bmp
2015/04/19 15:31:15,1,0,E,OK,0,10_20150419153115.bmp
2015/04/19 15:33:08,1,0,V,OK,0,10_20150419153308.bmp,2112
2015/04/19 15:33:22,1,0,V,OK,0,10_20150419153322.bmp,2112
2015/04/19 15:33:52,1,0,V,NG,2,10_20150419153352.bmp,2112
2015/04/19 15:36:52,1,0,V,OK,0,10_20150419153652.bmp,2112
2015/04/19 15:44:05,1,0,V,OK,0,10_20150419154405.bmp,1
2015/04/19 15:44:29,1,0,I,OK,0,10_20150419154429.bmp,1(8000)
2015/04/25 14:56:47,1,0,I,OK,0,10_20150425145647.bmp,1(8000)
2015/04/25 14:57:14,1,0,I,OK,0,10_20150425145714.bmp,1(8000)
2015/04/25 14:57:23,1,0,I,OK,0,10_20150425145723.bmp,1(5000)
2015/04/25 14:57:52,1,0,I,OK,2,10_20150425145752.bmp,1(2000)
2015/04/25 14:59:00,1,0,I,OK,0,10_20150425145859.bmp,1(5000)
2015/04/25 14:59:26,1,0,I,OK,0,10_20150425145926.bmp,2112(3000)
2015/04/25 15:02:23,1,0,I,NG,2,10_20150425150223.bmp
2015/04/25 15:02:36,1,0,I,NG,2,10_20150425150236.bmp
2015/04/25 15:04:53,1,0,I,NG,2,10_20150425150453.bmp
2015/04/25 15:07:20,1,0,E,OK,0,10_20150425150720.bmp
2015/04/25 15:08:13,1,0,I,OK,0,10_20150425150813.bmp,1(10000)
2015/04/25 15:08:23,1,0,I,OK,0,10_20150425150823.bmp,0511(9000)
2015/04/25 15:08:28,1,0,I,OK,0,10_20150425150828.bmp,2112(4000)
2015/04/25 15:13:52,1,0,I,OK,0,10_20150425151352.bmp,1(1000)
2015/04/25 15:16:03,1,0,I,NG,2,10_20150425151603.bmp
2015/04/25 15:16:35,1,0,I,NG,2,10_20150425151635.bmp
2015/04/25 15:21:46,1,0,E,OK,0,10_20150425152146.bmp
2015/04/25 15:41:09,1,0,I,OK,0,10_20150425154109.bmp,1(6000)
